Crop ID,Crop Name,Crop Category,Description
1,Basil,Herbs,"Aromatic herb used in Mediterranean cuisine"
2,Mint,Herbs,"Refreshing herb used in drinks and culinary dishes"
3,Parsley,Herbs,"Versatile herb for garnish and flavoring"
4,Cilantro,Herbs,"Herb with citrusy flavor, used fresh in various dishes"
5,Thyme,Herbs,"Small-leaved herb, widely used in cooking"
6,Rosemary,Herbs,"Fragrant, woody herb used in roasting and baking"
7,Romaine Lettuce,Leafy Greens,"Crisp, elongated leaves with a slightly sweet flavor, often used in salads and wraps"
8,Butterhead Lettuce,Leafy Greens,"Soft, tender leaves with a mild, buttery taste, prized for its delicate texture"
9,Arugula Lettuce,Leafy Greens,"Peppery, tangy green that adds a bold flavor to salads and sandwiches"
10,Spinach,Leafy Greens,"Tender, nutrient-rich green often used fresh or cooked"
11,Kale,Leafy Greens,"Leafy green with high vitamin content, often cooked or eaten raw"
12,Swiss Chard,Leafy Greens,"Leafy green with colorful stems, versatile in cooking"
13,Radish,Microgreens,"Spicy, crisp microgreens with vibrant stems and leaves, adding color and bite to dishes"
14,Pea Shoots,Microgreens,"Tender, sweet shoots with a fresh pea flavor, commonly used in salads and garnishes"
15,Sunflower,Microgreens,"Crunchy, nutty-flavored microgreens rich in protein and texture"
16,Broccoli,Microgreens,"Mild, nutrient-dense greens prized for their delicate flavor and high vitamin content"
17,Nasturtium,Specialty Crops,"Vibrant edible flowers with a peppery flavor, used for garnishing and adding color to dishes"
18,Viola,Specialty Crops,"Delicate edible blooms with a mild, floral taste, often used in salads and desserts for visual appeal"
19,Baby Bok Choy,Specialty Crops,"Tender, compact variety of bok choy with mild flavor and crisp texture, ideal for stir-fries and sautéed dishes"
